Fluorescein,Target,Species,Clone,Quantity,Brand,Catalog Number,,,,,
PE/Cyanine7,CD3,Mouse,17A2,2,BioLegend,100220,,,,,
PE/Cyanine7,NK1.1,Mouse,PK136,12,BioLegend,108714,,,,,
PE/Cyanine7,Ki-67,Mouse,16A8,4,BioLegend,652426,,,,,
PE/Cyanine7,CD11c,Mouse,N418,1,BioLegend,117318,,,,,
PE/Cyanine7,Ly-6G,Mouse,1A8,2,BioLegend,127618,,,,,
PE/Cyanine7,IFN-γ,Mouse,XMG1.2,3,BioLegend,505826,,,,,
PE/Cyanine7,GATA3,Mouse/Human,16E10A23,1,BioLegend,653819,,,,,
PE/Cyanine7,GM-CSF,Mouse,MP1-22E9,1,BioLegend,505412,,,,,
PE/Cyanine7,CD49d,Mouse,R1-2,1,BioLegend,103618,,,,,
PE/Cyanine7,CD80,Mouse,16-10A1,1,BioLegend,104733,,,,,
PE/Cyanine7,Ki-67,Mouse/Human,11F6,1,BioLegend,151218,,,,,
PerCP/Cyanine5.5,CD4,Mouse,GK1.5,3,BioLegend,100434,,,,,
PerCP/Cyanine5.5,CD8a,Mouse,53-6.7,7,BioLegend,100734,,,,,
PerCP/Cyanine5.5,Ly-6C,Mouse,HK1.4,4,BioLegend,128012,,,,,
PerCP/Cyanine5.5,NK1.1,Mouse,PK136,2,BioLegend,108728,,,,,
PerCP/Cyanine5.5,CD11c,Mouse,N418,1,BioLegend,117328,,,,,
PerCP/Cyanine5.5,CD62L,Mouse,MEL-14,1,BioLegend,104432,,,,,
PerCP/Cyanine5.5,CD19,Mouse,6D5,1,BioLegend,115534,,,,,
PerCP/Cyanine5.5,CD3,Mouse,17A2,3,BioLegend,100218,,,,,
PerCP/Cyanine5.5,CD253 (TRAIL),Mouse,N2B2,2,BD Pharmingen,109314,,,,,
PerCP/Cyanine5.5,CD45.2,Mouse,104,2,BD Pharmingen,109828,,,,,
PerCP/Cyanine5.5,Foxp3,Mouse,R16-715,1,BioLegend,563902,,,,,
PerCP/Cyanine5.5,Ly-6G,Mouse,1A8,1,BioLegend,560602,,,,,
PerCP/Cyanine5.5,TER-119,Mouse,TER-119,1,BD Pharmingen,116227,,,,,
PerCP/Cyanine5.5,IFN-γ,Mouse,XMG1.2,1,BioLegend,505821,,,,,
PerCP/Cyanine5.5,Foxp3,Mouse,R16-715,1,BioLegend,563902,,,,,
PerCP,CD44,Mouse,IM7,1,BioLegend,103036,,,,,-
FITC,I-A/I-E,Mouse,M5/114.15.2,2,BioLegend,107606,,,,,
FITC,CD4,Mouse,GK1.5,4,BioLegend,100406,,,,,
FITC,F4/80,Mouse,BM8,3,BioLegend,123108,,,,,
FITC,CD206 (MMR),Mouse,C068C2,1,BioLegend,141703,,,,,
FITC,Ly-6A/E (Sca-1),Mouse,E13-161.7,1,BioLegend,122505,,,,,
FITC,CD8b (Ly-3),Mouse,YTS156.7.7,1,BioLegend,126606,,,,,
FITC,CD3,Mouse,17A2,8,BioLegend,100204,,,,,
FITC,CD44,Mouse/Human,IM7,4,BioLegend,103006,,,,,
FITC,CD45.2,Mouse,104,7,BioLegend,109806,,,,,
FITC,CD335 (NKp46),Mouse,29A1.4,2,BioLegend,137606,,,,,
FITC,CD45,Mouse,S18009F,1,BioLegend,157214,,,,,
FITC,Perforin,Mouse,S16009A,6,BD Pharmingen,154310,,,,,
FITC,CD314 (NKG2D),Mouse,C7,2,BioLegend,115711,,,,,
FITC,CD69,Mouse,H1.2F3,1,BioLegend,553236,,,,,
FITC,CD69,Mouse,H1.2F3,2,BioLegend,104506,,,,,
FITC,CD8α,Mouse,53-6.7,6,BioLegend,100706,,,,,
FITC,CD11b,Mouse/Human,M1/70,2,BioLegend,101206,,,,,
FITC,CD200R (OXR2),Mouse,OX-110,3,BioLegend,123910,,,,,
FITC,CD27,Mouse/Rat/Human,LG.3A10,2,BioLegend,124208,,,,,
FITC,Ly49H,Mouse,3D10,1,BioLegend,144708,,,,,
FITC,LIN,Mouse,,4,BioLegend,B456231,,,,,
PE,NK1.1,Mouse,PK136,7,BioLegend,108708,,,,,
PE,CD326 (Ep-CAM),Mouse,G8.8,1,BioLegend,118206,,,,,
PE,CD223 (LAG-3),Mouse,C9B7W,3,BioLegend,125208,,,,,
PE,CD226 (DNAM-1),Mouse,1.00E+06,1,BioLegend,128806,,,,,
PE,KLRG1 (MAFA),Mouse/Human,2F1/KLRG1,1,BioLegend,138408,,,,,
PE,CD183 (CXCR3),Mouse,CXCR3-173,1,BioLegend,126506,,,,,
PE,CD11a,Mouse,M17/4,1,BioLegend,101107,,,,,
PE,CD11c,Mouse,N418,1,eBioscience,117308,,,,,
PE,CD45.1,Mouse,A20,1,BioLegend,110708,,,,,
PE,TOX,Mouse,TXRX10,1,BioLegend,12-6502-82,,,,,
PE,TNF-α,Mouse,MP6-XT22,7,BioLegend,506306,,,,,
PE,CD366 (TIM3),Mouse,RMT3-23,4,BioLegend,119704,,,,,
PE,TCR γ/δ,Mouse,UC7-13D5,1,BioLegend,107508,,,,,
PE,IL-17A,Mouse,TC11-18H10.1,2,BioLegend,506904,,,,,
PE,IL-10,Mouse,JES5-16E3,3,BioLegend,505008,,,,,
PE,CX3CR1,Mouse,SA011F11,1,BioLegend,149006,,,,,
PE,Perforin,Mouse,S16009A,5,BioLegend,154306,,,,,
PE,Bcl-6,Mouse,7D1,1,BioLegend,358504,,,,,
PE,CD8a,Mouse,53-6.7,2,BioLegend,100708,,,,,
PE,TIGIT (Vstm3),Mouse,1G9,4,BioLegend,142104,,,,,
PE,CD69,Mouse,H1.2F3,3,BioLegend,104508,,,,,
PE,Ki-67,Mouse,16A8,2,BioLegend,652404,,,,,
PE,CD18,Mouse,M18/2,1,BioLegend,101407,,,,,
PE,"CD274 (B7-H1, PD-L1)",Mouse,10F.9G2,3,BioLegend,124308,,,,,
PE,Granzyme A,Mouse,3G8.5,3,BioLegend,149704,,,,,
PE,CD253 (TRAIL),Mouse,N2B2,1,BioLegend,109306,,,,,
PE,CD3,Mouse,17A2,3,BioLegend,100206,,,,,
PE,Granzyme B,Mouse,QA16A02,7,BioLegend,372208,,,,,
PE,FOXP3,Mouse,MF-14,2,BioLegend,126404,,,,,
PE,CD127 (IL-7Rα),Mouse,SB/199,1,BioLegend,121112,,,,,
PE,CD152,Mouse,UC10-4B9,1,BioLegend,106306,,,,,
PE,CD4,Mouse,GK1.5,6,BioLegend,100408,,,,,
PE,CD335 (NKp46),Mouse,29A1.4,3,BioLegend,137604,,,,,
PE,CD279 (PD-1),Mouse,RMP1-30,1,eBioscience,109104,,,,,
PE,Ly-6G,Mouse,1A8,2,BioLegend,127608,,,,,
PE,Phospho-STAT5 (Tyr694),Mouse,SRBCZX,1,BioLegend,12-9010-42,,,,,
PE,CD45RB,Mouse,C363-16A,4,BioLegend,103308,,,,,
PE,CD25,Mouse,PC61,4,BioLegend,102008,,,,,
PE,CD45.2,Mouse,QA18A15,3,BioLegend,111104,,,,,
PE,IFN-γ,Mouse,XMG1.2,6,BioLegend,505808,,,,,
PE,"CD262 (DR5, TRAIL-R2)",Mouse,MD5-1,1,BioLegend,119905,,,,,
PE,F4/80,Mouse,BM8,2,BioLegend,123110,,,,,
PE,TISTA (PD-1H),Mouse,MIH63,1,BioLegend,150204,,,,,
PE,CD45,Mouse,I3/2.3,2,BioLegend,147712,,,,,
PE,CD314 (NKG2D),Mouse,CX5,2,BioLegend,130208,,,,,
PE,IκB-α,Mouse,3D6C02,1,BioLegend,662412,,,,,
PE,CD96 (TACTILE),Mouse,QA19A37,2,BioLegend,162404,,,,,
PE,NFκB-P65-PS529,Mouse,A21012B,1,eBioscience,614154,,,,,
PE,RORγt,Mouse,Q31-378,1,BD Pharmingen,562607,,,,,
PE,Tmem119,Mouse,V3RT1GOsz,1,BioLegend,12-6119-82,,,,,
PE,TNF,Mouse/Rat,TN3-19.12,1,BioLegend,559503,,,,,
Alexa Fluor® 488,Ki-67,Mouse,11F6,2,BioLegend,151204,,,,,
Alexa Fluor® 488,STAT3 Phospho (Tyr705),Mouse,13A3-1,1,BioLegend,651005,,,,,
Alexa Fluor® 488,T-bet,Mouse,4B10,2,BioLegend,644830,,,,,
Brilliant Violet 421™,CD11b,Mouse,M1/70,6,BioLegend,101251,,,,,
Brilliant Violet 421™,CD62L,Mouse,MEL-14,2,BioLegend,104436,,,,,
Brilliant Violet 421™,CD64 (FcγRI),Mouse,X54-5/7.1,1,BioLegend,139309,,,,,
Brilliant Violet 421™,CD183 (CXCR3),Mouse,CXCR3-173,1,BioLegend,126529,,,,,
Brilliant Violet 421™,CD4,Mouse,GK1.5,6,BioLegend,100438,,,,,
Brilliant Violet 421™,CD135,Mouse,A2F10,1,BioLegend,135313,,,,,
Brilliant Violet 421™,CD155 (PVR),Mouse,TX56,2,BioLegend,131517,,,,,
Brilliant Violet 421™,TCR β,Mouse,H57-597,2,BioLegend,109230,,,,,
Brilliant Violet 421™,Granzyme B,Mouse,QA18A28,4,BioLegend,396414,,,,,
Brilliant Violet 421™,CD3,Mouse,17A2,3,BioLegend,100228,,,,,
Brilliant Violet 421™,STAT3 Phospho (Tyr705),Mouse,13A3-1,1,BioLegend,651009,,,,,
